,speed,gear,brake,throttle,revs,transmission_speed
0,[0.0],[1.0],[0.0],[80.0],[1000.0],[0.0]
1,[0.07432871436974128],[1.0],[0.0],[80.0],[1400.250131830916],[3.3624973225465626]
2,[0.2003125117564824],[1.0],[0.0],[80.0],[1721.4522094529511],[9.061777674550317]
3,[0.3746396837288334],[1.0],[0.0],[80.0],[1957.4437880685048],[16.948025324257713]
4,[0.5878216381306784],[1.0],[0.0],[80.0],[2123.0971838971886],[26.59199343227145]
5,[0.8295346301821864],[1.0],[0.0],[80.0],[2236.626830726339],[37.52665435691651]
6,[1.090783086158762],[1.0],[0.0],[80.0],[2312.6125809282053],[49.34506452570949]
7,[1.364543627086015],[1.0],[0.0],[80.0],[2362.5829927793634],[61.72949890873609]
8,[1.645726220548652],[1.0],[0.0],[80.0],[2394.9910902948004],[74.44969359637234]
9,[1.9308034978236732],[1.0],[0.0],[80.0],[2415.6645067646073],[87.34607677323987]
10,[2.2173754678732074],[1.0],[0.0],[80.0],[2428.5421356661905],[100.31007716231059]
11,[2.5038652431099595],[1.0],[0.0],[80.0],[2436.407299107733],[113.2703592059175]
12,[2.790449951791039],[1.0],[0.0],[80.0],[2440.4638690394195],[126.23493586776284]
13,[3.076519521154299],[1.0],[0.0],[80.0],[2442.0101000745776],[139.1762085535931]
14,[3.3615791593337714],[1.0],[0.0],[80.0],[2441.9542660681786],[152.0717937695103]
15,[3.6453144341301],[1.0],[0.0],[80.0],[2440.8790631151896],[164.9074671684714]
16,[3.9275267596063412],[1.0],[0.0],[80.0],[2439.157457375937],[177.67424507994042]
17,[4.2080916877168075],[1.0],[0.0],[80.0],[2437.0278289098715],[190.36649769820932]
18,[4.486932112160747],[1.0],[0.0],[80.0],[2434.642401276429],[202.9807368729445]
19,[4.764001120524643],[1.0],[0.0],[80.0],[2432.098328339461],[215.51484037095278]
20,[5.038383210624238],[1.0],[0.0],[80.0],[2430.2965691709137],[227.92739252038436]
21,[5.310216490466475],[1.0],[0.0],[80.0],[2428.9904356500506],[240.22464107902042]
22,[5.579615996977925],[1.0],[0.0],[80.0],[2427.9987494736592],[252.4117901104704]
23,[5.8466598831301075],[1.0],[0.0],[80.0],[2427.2070989655],[264.4923751145706]
24,[6.111403099127016],[1.0],[0.0],[80.0],[2426.5431985488594],[276.46888193969556]
25,[6.373885980164845],[1.0],[0.0],[80.0],[2425.961361712132],[288.34313527755916]
26,[6.634139643488772],[1.0],[0.0],[80.0],[2425.4327049407084],[300.116542816354]
27,[6.892189382766858],[1.0],[0.0],[80.0],[2424.938962596776],[311.79024879612047]
28,[7.147616891815026],[1.0],[0.0],[80.0],[2425.569710015802],[323.34532979761354]
29,[7.400457667729211],[1.0],[0.0],[80.0],[2427.4267569938215],[334.7833916455949]
30,[7.650985677568124],[1.0],[0.0],[80.0],[2430.0225978113062],[346.11682811694055]
31,[7.899375016145461],[1.0],[0.0],[80.0],[2433.058037938629],[357.3535149478299]
32,[8.145738712109424],[1.0],[0.0],[80.0],[2436.3493080666435],[368.49856535097183]
33,[8.390152348549325],[1.0],[0.0],[80.0],[2439.7835274319623],[379.5553985693545]
34,[8.632668487565063],[1.0],[0.0],[80.0],[2443.2914038424756],[390.52639241781964]
35,[8.873325497504963],[1.0],[0.0],[80.0],[2446.830466455983],[401.41328261142155]
36,[9.112152962382826],[1.0],[0.0],[80.0],[2450.374754953917],[412.2174074777237]
37,[9.3490281220524],[1.0],[0.0],[80.0],[2454.041561376224],[422.9332135685524]
38,[9.583503061804803],[1.0],[0.0],[80.0],[2458.223419575103],[433.54043802826504]
39,[9.815720206110585],[1.0],[0.0],[80.0],[2462.6937530916703],[444.04552388369154]
40,[10.045774347630363],[1.0],[0.0],[80.0],[2467.3155346852855],[454.4527593842683]
41,[10.273731398264568],[1.0],[0.0],[80.0],[2472.0059996786554],[464.76512626579694]
42,[10.499639686897982],[1.0],[0.0],[80.0],[2476.7152937648602],[474.9848108400827]
43,[10.723536779245503],[1.0],[0.0],[80.0],[2481.4135322801476],[485.1135125124875]
44,[10.945453600412595],[1.0],[0.0],[80.0],[2486.0829494973877],[495.15263027914915]
45,[11.165416930018804],[1.0],[0.0],[80.0],[2490.71313281216],[505.1033756018801]
46,[11.383450914298425],[1.0],[0.0],[80.0],[2495.298128438194],[514.9668408128812]
47,[11.599577983958419],[1.0],[0.0],[80.0],[2499.8346832321613],[524.7440406369832]
48,[11.81373793156385],[1.0],[0.0],[80.0],[2504.562186694847],[534.4322513981413]
49,[12.02570297610219],[1.0],[0.0],[80.0],[2510.260031249192],[544.0211686931212]
50,[12.235707135193318],[1.0],[0.0],[80.0],[2516.488919216816],[553.5213790580541]
51,[12.443893536157066],[1.0],[0.0],[80.0],[2522.993166970499],[562.939357315407]
52,[12.650352480963026],[1.0],[0.0],[80.0],[2529.6240081514275],[572.2791885638328]
53,[12.855143448663],[1.0],[0.0],[80.0],[2536.295062315018],[581.543563528634]
54,[13.058307858516953],[1.0],[0.0],[80.0],[2542.956396509477],[590.7343559426189]
55,[13.259876491398698],[1.0],[0.0],[80.0],[2549.5793857775884],[599.8529582771448]
56,[13.459873812894033],[1.0],[0.0],[80.0],[2556.1478646179867],[608.9004773113004]
57,[13.658320495506365],[1.0],[0.0],[80.0],[2562.652950421313],[617.8778482319503]
58,[13.855234892551307],[1.0],[0.0],[80.0],[2569.090013044337],[626.785901310076]
59,[14.05063390114684],[1.0],[0.0],[80.0],[2575.4568999203852],[635.625400940897]
60,[14.244533468870438],[1.0],[0.0],[80.0],[2581.75289622025],[644.3970685641292]
61,[14.436948892393378],[1.0],[0.0],[80.0],[2587.978115599498],[653.1015961736629]
62,[14.627741870741595],[1.0],[0.0],[80.0],[2594.6322412445484],[661.732727282231]
63,[14.81685131377075],[1.0],[0.0],[80.0],[2602.0633147658355],[670.287698281604]
64,[15.004464751090826],[1.0],[0.0],[80.0],[2609.884880383861],[678.7749926739758]
65,[15.190691186581306],[1.0],[0.0],[80.0],[2617.88292737714],[687.1995415987591]
66,[15.375596167742362],[1.0],[0.0],[80.0],[2625.93904714227],[695.5643103069433]
67,[15.559221093530901],[1.0],[0.0],[80.0],[2633.9879552678967],[703.8711716128631]
68,[15.74159388421567],[1.0],[0.0],[80.0],[2641.993931038323],[712.121388579249]
69,[15.922734893143115],[1.0],[0.0],[80.0],[2649.93771986471],[720.3158819548787]
70,[16.10266018896133],[1.0],[0.0],[80.0],[2657.809240275491],[728.455378656485]
71,[16.281383381325753],[1.0],[0.0],[80.0],[2665.603517928268],[736.5404943603965]
72,[16.45891663844754],[1.0],[0.0],[80.0],[2673.3184164998606],[744.5717795345955]
73,[16.635271255597875],[1.0],[0.0],[80.0],[2680.9533703860443],[752.5497451568305]
