attitude1,attitude2,attitude3
-29.99558744636427,-10.032730355155342,-59.98093800587102
-29.999189764744738,-9.991256830859362,-59.97134692008755
-30.00302744325859,-9.938578292834483,-59.9510894482613
-29.98936405978798,-9.952516740620945,-59.89586785069095
-30.018394005523408,-9.922533161098471,-59.89380834409254
-30.017412378212516,-9.879992380148162,-59.86614257099641
-29.97294547574715,-9.885277315131244,-59.82866470631172
-30.03236186301415,-9.857880813679774,-59.798443583568755
-30.000316273747522,-9.83773499871933,-59.78767952712058
-29.99939227984899,-9.816544117992153,-59.74285243414119
-30.039240562999368,-9.766611952642872,-59.72433504290289
-30.02936904843724,-9.800920526334403,-59.68032189548023
-29.99234114101825,-9.747229759953482,-59.625304010650574
-30.075681072015744,-9.734862330849868,-59.61578863696051
-29.99533215081729,-9.718952433549095,-59.597658199443316
-30.031385182530087,-9.705910062286206,-59.55945496665912
-30.05200901092624,-9.70503585652731,-59.547614718738544
-30.061259369193156,-9.693724451944657,-59.53283585716904
-30.03273637400112,-9.671761736929112,-59.474998050981796
-30.056565811710893,-9.613696001579337,-59.471429613589486
-30.066645125907446,-9.609070689210089,-59.40095288206018
-30.041538213574682,-9.57354503850934,-59.41730466155379
-30.044817235147118,-9.575015093163127,-59.35019711254033
-30.033360975894325,-9.501317291879891,-59.31988114818965
-30.041096839910463,-9.507446280876065,-59.305004136725806
-30.03717489793444,-9.50920523269932,-59.27990126957012
-30.06779910496187,-9.47658800809131,-59.24153883426255
-30.02270805049559,-9.473967248964575,-59.221554879879285
-30.05067683559211,-9.450066347756556,-59.19659047318569
-30.054536195962832,-9.460978927620983,-59.19394054905834
-30.05913253366524,-9.424110090098837,-59.13171999677615
-30.023106810979282,-9.421575727459814,-59.11268942877978
-30.056045824675454,-9.382686928900851,-59.100050193358534
-30.069262385227855,-9.34753138018174,-59.062034546549775
-30.079832004387857,-9.323645937304512,-59.03825738286929
-30.056105064493334,-9.32258676796283,-59.01401155296218
-30.082043280878345,-9.331530554613716,-58.978084364266806
-30.053943527056994,-9.26935344115146,-58.96635783739519
-30.07788103744908,-9.270305085804656,-58.907165608656626
